Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_8_000000000-JTFYW_1_1106_14468_28563	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_13258_2153	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_16657_3545	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_18348_4702	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_11496_6033	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_11217_11947	29784	771	29013	2.588638	487	3	484	0.6160164271047228
M06508_8_000000000-JTFYW_1_1107_23487_7850	4	1	3	25	4	1	3	25
M06508_8_000000000-JTFYW_1_1107_27627_11373	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_20553_12361	24	3	21	12.5	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_1107_3923_13019	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_6511_13202	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_16934_13588	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2107_6639_19592	8	1	7	12.5	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_1107_25859_14961	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_21225_15323	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_14183_17096	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_5384_17659	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_3208_18184	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_26685_18664	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_5308_19017	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_28768_20143	632	22	610	3.481013	44	1	43	2.272727272727273
M06508_8_000000000-JTFYW_1_1107_5619_22396	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_19711_23205	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_9439_15015	1540	1	1539	0.064935	115	1	114	0.8695652173913043
M06508_8_000000000-JTFYW_1_1107_8011_23936	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_15396_2541	8	8	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_20314_4402	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_17319_4554	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_18198_4652	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_9608_4732	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_9928_5682	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1108_25302_22403	4998	1	4997	0.020008	243	1	242	0.411522633744856
M06508_8_000000000-JTFYW_1_1108_13597_6966	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_9939_7217	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_26525_7512	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_9535_7571	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_7694_7745	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_14645_8133	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_11245_8706	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_6551_9335	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_19920_9804	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_6803_10122	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_27527_10534	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_27516_10549	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_15681_10722	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_5782_13157	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_16031_15408	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_8293_15503	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_17219_15863	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_18670_16785	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_20814_16791	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_11248_18060	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_24440_19485	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_20403_19558	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_23976_19987	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_5808_20009	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_4210_20320	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_14892_20331	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_17124_20807	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_3461_21180	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_10722_21635	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_21788_21738	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_10135_22904	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_6057_23290	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_17141_24059	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_22013_24672	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_16810_26365	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_10086_27348	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_21360_3334	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_23409_4025	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1109_24467_5263	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_21185_5770	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_21968_8233	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_5925_8272	29	3	26	10.344828	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_1109_16638_8562	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_5628_9930	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_24535_15179	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_20600_18440	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_13825_20000	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_4388_20459	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_23375_20626	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_21292_20642	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_6736_20902	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_25240_20927	25	25	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_10588_24127	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_20017_24814	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_10739_24977	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_24220_25134	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_14645_28610	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_14081_4887	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_24670_4937	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_22133_5262	9	1	8	11.111111	4	1	3	25
M06508_8_000000000-JTFYW_1_1110_14653_5677	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_10676_5724	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_8835_8306	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_7083_9524	5	4	1	80	2	1	1	50
M06508_8_000000000-JTFYW_1_1110_13127_11207	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_18357_11793	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_22153_13581	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_25928_13633	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_7883_13901	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_13145_14322	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_17630_14709	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_17961_15104	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_8640_15417	8	8	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1103_24090_19421	1391	169	1222	12.149533	105	2	103	1.9047619047619049
M06508_8_000000000-JTFYW_1_1110_26558_16669	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_11058_16713	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_9638_16874	5	1	4	20	4	1	3	25
M06508_8_000000000-JTFYW_1_1110_19391_17554	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_22035_17703	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_4582_18297	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_16593_18709	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2106_22915_11249	4562	4561	1	99.97808	3	2	1	66.66666666666666
M06508_8_000000000-JTFYW_1_1111_5644_7566	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_12571_8404	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_23992_8834	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_22836_8914	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_24067_9150	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1104_4480_21528	21312	1	21311	0.004692	156	1	155	0.641025641025641
M06508_8_000000000-JTFYW_1_1111_2685_10354	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1111_5740_10580	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_19056_12291	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_6558_12793	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_4573_13065	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_23219_13472	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_6137_16466	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_17209_17392	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_20140_17813	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1111_16949_17990	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_27512_18050	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_21464_18253	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_28713_20164	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_23563_20662	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_13355_21478	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_12815_26518	835	9	826	1.077844	54	1	53	1.8518518518518516
M06508_8_000000000-JTFYW_1_1111_23036_26564	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_12502_26703	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_15859_1549	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1104_11412_11489	23286	1	23285	0.004294	24	1	23	4.166666666666666
M06508_8_000000000-JTFYW_1_1112_16175_5981	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_13290_6061	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_14375_7604	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_26336_8117	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_24331_8580	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_10823_11558	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_29301_14382	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_21183_15855	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_23447_18310	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1112_11105_20583	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_13738_20655	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_21687_20714	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_22050_20935	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_4399_22500	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_12253_23598	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1112_22866_24625	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_23840_25152	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_22531_25778	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_20908_27102	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_9284_3517	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_17419_3674	515	1	514	0.194175	31	1	30	3.225806451612903
M06508_8_000000000-JTFYW_1_1113_10368_4760	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_17184_7672	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_11512_9669	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_4819_11530	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_16001_11655	9	9	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_27547_11939	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_4893_12766	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_26134_16266	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_14748_16886	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_7721_17504	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_11861_17687	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_9145_17959	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_13707_18207	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_27916_18796	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_19819_20172	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_19351_21915	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_12073_22446	6	1	5	16.666667	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_1113_19362_23058	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_16565_23696	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_12324_28244	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_12636_8741	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_22784_9851	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_28092_11662	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_16188_12020	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_28170_12994	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_13471_13090	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_8007_14594	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_14761_14677	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_20086_14742	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_29504_15906	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_28603_16205	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_19997_17216	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_10076_18690	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_9226_18760	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_28760_18999	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_19205_19298	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_21861_4235	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_15876_4584	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_11540_11444	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_18697_15057	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_21017_15758	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_15679_18347	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_8927_18825	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_9067_19337	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_9900_19639	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_12040_20475	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_23941_20481	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_20012_20926	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_6917_23860	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_12576_26435	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2101_19727_27259	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_22841_3650	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_20155_8744	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_25452_9531	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_3078_12307	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_25366_12578	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_25501_14129	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_24182_14961	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_11260_16502	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_9097_17147	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_17996_19150	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_26468_19656	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_4628_20619	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_4615_20639	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_22915_20756	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_22340_21415	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_4384_22131	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_10307_27251	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_17391_2872	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2103_17992_4558	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_14490_6323	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_6106_8634	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_25577_11593	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_22600_11707	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_6268_15075	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_5051_17064	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_7198_18571	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_25392_20791	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_27093_21039	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_13400_23324	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_20997_3229	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_22395_5019	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_16527_7340	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_26089_9579	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_10030_10076	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_9922_12672	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_7547_13282	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_16422_16636	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_28796_17669	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_18260_17890	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_20643_20460	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_14039_20821	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_13018_21399	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_18964_22537	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_18189_27940	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_10074_28060	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_17898_1685	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_14010_3899	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_22483_4057	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_20664_5085	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_21560_8510	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_21977_10009	9	9	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_10624_10014	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_9855_14602	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_10487_14937	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_6795_18175	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_19899_19487	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_15812_19692	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_22146_20226	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_15660_21242	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_12202_26129	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_12784_5690	48	2	46	4.166667	41	2	39	4.878048780487805
M06508_8_000000000-JTFYW_1_2106_14498_3523	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_18110_4621	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_12926_5597	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_10834_8841	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_4972_12667	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_2715_14447	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_15369_14961	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_7871_16064	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_14247_16396	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_7697_17722	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_9112_18960	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_26852_19328	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_9868_20084	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_27279_21831	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_24784_25789	62	50	12	80.645161	5	2	3	40
M06508_8_000000000-JTFYW_1_2106_18697_27196	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_15212_2774	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_22548_5009	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_3546_9263	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_10521_12637	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_19916_25542	179	80	99	44.692737	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_2107_19295_15693	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_8588_16478	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_24831_18181	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_7391_18733	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_15952_21158	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_25881_21857	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_23838_21945	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_18491_25845	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_21074_26280	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_13891_1962	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_12645_2878	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_21124_3688	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_15191_4260	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_22507_5475	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_13699_5966	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_11099_8129	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_17006_8760	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_17828_9900	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_21444_10281	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_19735_13252	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_24105_17840	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_14319_18080	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_27122_18193	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1110_4377_11489	7037	1	7036	0.014211	165	1	164	0.6060606060606061
M06508_8_000000000-JTFYW_1_2108_11964_21764	1	1	0	100	1	1	0	100
